Phi[deg],Theta[deg],im(rEPhi)[mV],re(rEPhi)[mV],re(rETheta)[mV],im(rETheta)[mV]
116,0,20.7857,11.8239,-4.59952,-7.71993
117,0,20.9173,11.9024,-4.39247,-7.356
118,0,21.0425,11.9772,-4.18407,-6.98982
119,0,21.1613,12.0484,-3.9744,-6.62151
120,0,21.2736,12.116,-3.76352,-6.25119
121,0,21.3795,12.1798,-3.5515,-5.87896
122,0,21.4788,12.2399,-3.33839,-5.50494
123,0,21.5716,12.2963,-3.12427,-5.12925
124,0,21.6578,12.349,-2.90919,-4.75199
125,0,21.7375,12.3979,-2.69323,-4.37329
126,0,21.8105,12.443,-2.47645,-3.99325
127,0,21.8769,12.4843,-2.25891,-3.612
128,0,21.9366,12.5218,-2.04068,-3.22964
129,0,21.9896,12.5555,-1.82184,-2.8463
130,0,22.0359,12.5854,-1.60243,-2.4621
131,0,22.0755,12.6115,-1.38254,-2.07715
132,0,22.1084,12.6337,-1.16223,-1.69156
133,0,22.1346,12.652,-0.941569,-1.30545
134,0,22.154,12.6665,-0.720617,-0.918955
135,0,22.1666,12.6772,-0.499446,-0.532174
136,0,22.1726,12.684,-0.278123,-0.145232
137,0,22.1717,12.6869,-0.0567145,0.241755
138,0,22.1641,12.6859,0.164711,0.628667
139,0,22.1498,12.6811,0.386086,1.01539
140,0,22.1287,12.6725,0.607344,1.4018
141,0,22.1008,12.6599,0.828416,1.78779
142,0,22.0663,12.6436,1.04924,2.17323
143,0,22.025,12.6233,1.26974,2.55801
144,0,21.977,12.5992,1.48985,2.942
145,0,21.9223,12.5713,1.70951,3.32511
146,0,21.8609,12.5396,1.92865,3.7072
147,0,21.7929,12.504,2.1472,4.08816
148,0,21.7182,12.4646,2.3651,4.46788
149,0,21.6369,12.4214,2.58228,4.84623
150,0,21.5491,12.3745,2.79867,5.22311
151,0,21.4546,12.3238,3.01421,5.5984
152,0,21.3537,12.2693,3.22883,5.97198
153,0,21.2462,12.2111,3.44246,6.34374
154,0,21.1322,12.1491,3.65505,6.71357
155,0,21.0118,12.0835,3.86653,7.08136
156,0,20.8851,12.0142,4.07682,7.44699
157,0,20.7519,11.9412,4.28588,7.81035
158,0,20.6124,11.8646,4.49363,8.17133
159,0,20.4667,11.7843,4.70001,8.52982
160,0,20.3147,11.7005,4.90496,8.88572
161,0,20.1565,11.6131,5.10841,9.2389
162,0,19.9922,11.5222,5.31031,9.58928
163,0,19.8218,11.4278,5.51059,9.93673
164,0,19.6454,11.3298,5.70919,10.2812
165,0,19.463,11.2285,5.90606,10.6224
166,0,19.2746,11.1237,6.10112,10.9605
167,0,19.0804,11.0155,6.29433,11.2952
168,0,18.8804,10.904,6.48562,11.6265
169,0,18.6746,10.7891,6.67493,11.9542
170,0,18.4631,10.671,6.86221,12.2783
171,0,18.246,10.5496,7.0474,12.5987
172,0,18.0233,10.425,7.23044,12.9152
173,0,17.7952,10.2972,7.41128,13.2278
174,0,17.5616,10.1663,7.58987,13.5363
175,0,17.3227,10.0323,7.76614,13.8408
176,0,17.0785,9.89526,7.94004,14.141
177,0,16.8291,9.75518,8.11153,14.4369
178,0,16.5746,9.61212,8.28055,14.7284
179,0,16.315,9.46615,8.44704,15.0154
180,0,16.0505,9.31728,8.61096,15.2979
-180,1,16.0457,9.03686,0.392122,-119.196
-179,1,15.7785,8.89299,0.546263,-118.919
-178,1,15.5065,8.74658,0.698001,-118.647
-177,1,15.2298,8.59768,0.847294,-118.379
-176,1,14.9484,8.44632,0.994105,-118.117
-175,1,14.6625,8.29254,1.13839,-117.859
-174,1,14.3722,8.13638,1.28012,-117.606
-173,1,14.0775,7.97788,1.41926,-117.359
-172,1,13.7785,7.81708,1.55575,-117.116
-171,1,13.4753,7.65401,1.68958,-116.879
-170,1,13.168,7.48872,1.8207,-116.647
-169,1,12.8567,7.32126,1.94908,-116.42
-168,1,12.5415,7.15166,2.07468,-116.199
-167,1,12.2225,6.97996,2.19746,-115.983
-166,1,11.8997,6.80621,2.3174,-115.773
-165,1,11.5733,6.63045,2.43446,-115.569
-164,1,11.2434,6.45272,2.54861,-115.37
-163,1,10.91,6.27308,2.65981,-115.177
-162,1,10.5733,6.09156,2.76804,-114.989
-161,1,10.2334,5.90821,2.87325,-114.808
-160,1,9.89032,5.72307,2.97543,-114.633
-159,1,9.54422,5.5362,3.07453,-114.463
-158,1,9.19519,5.34763,3.17054,-114.3
-157,1,8.84334,5.15742,3.26342,-114.143
-156,1,8.48877,4.96562,3.35314,-113.991
-155,1,8.13159,4.77227,3.43968,-113.846
-154,1,7.77191,4.57742,3.52301,-113.708
-153,1,7.40983,4.38113,3.6031,-113.575
-152,1,7.04547,4.18343,3.67992,-113.449
-151,1,6.67892,3.98439,3.75346,-113.329
-150,1,6.31032,3.78405,3.82368,-113.216
