"dL [mm]","R_wire [mm]","Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
4.8,0.1,28.85,80.631611607686,14.1278452279453
4.8,0.1,28.8666666666667,80.8108168391524,14.3800372529891
4.8,0.1,28.8833333333333,80.9904177759707,14.6321134314488
4.8,0.1,28.9,81.1704153054077,14.8840734232009
4.8,0.1,28.9166666666667,81.3508103168271,15.1359168843792
4.8,0.1,28.9333333333333,81.5316037016933,15.3876434673578
4.8,0.1,28.95,81.7127963535748,15.6392528207301
4.8,0.1,28.9666666666667,81.8943891681479,15.8907445892898
4.8,0.1,28.9833333333333,82.0763830432005,16.1421184140129
4.8,0.1,29,82.2587788786359,16.3933739320362
4.8,0.1,29.0166666666667,82.4415775764753,16.6445107766384
4.8,0.1,29.0333333333333,82.6247800408629,16.8955285772206
4.8,0.1,29.05,82.8083871780681,17.1464269592852
4.8,0.1,29.0666666666667,82.9923998964892,17.3972055444163
4.8,0.1,29.0833333333333,83.1768191066572,17.6478639502593
4.8,0.1,29.1,83.3616457212387,17.8984017905003
4.8,0.1,29.1166666666667,83.5468806550394,18.1488186748445
4.8,0.1,29.1333333333333,83.7325248250073,18.3991142089971
4.8,0.1,29.15,83.9185791502358,18.6492879946403
4.8,0.1,29.1666666666667,84.1050445519669,18.8993396294132
4.8,0.1,29.1833333333333,84.2919219535946,19.1492687068903
4.8,0.1,29.2,84.4792122806673,19.3990748165594
4.8,0.1,29.2166666666667,84.6669164608913,19.6487575438003
4.8,0.1,29.2333333333333,84.8550354241338,19.898316469863
4.8,0.1,29.25,85.0435701024252,20.1477511718449
4.8,0.1,29.2666666666667,85.2325214299625,20.3970612226693
4.8,0.1,29.2833333333333,85.4218903431121,20.6462461910629
4.8,0.1,29.3,85.6116777804121,20.8953056415324
4.8,0.1,29.3166666666667,85.8018846825749,21.1442391343426
4.8,0.1,29.3333333333333,85.9925119924906,21.3930462254931
4.8,0.1,29.35,86.1835606552285,21.6417264666949
4.8,0.1,29.3666666666667,86.3750316180402,21.8902794053474
4.8,0.1,29.3833333333333,86.5669258303621,22.138704584515
4.8,0.1,29.4,86.7592442438171,22.3870015429029
4.8,0.1,29.4166666666667,86.9519878122172,22.6351698148335
4.8,0.1,29.4333333333333,87.1451574915664,22.8832089302228
4.8,0.1,29.45,87.3387542400612,23.1311184145551
4.8,0.1,29.4666666666667,87.5327790180943,23.3788977888594
4.8,0.1,29.4833333333333,87.7272327882557,23.6265465696848
4.8,0.1,29.5,87.9221165153349,23.874064269075
4.8,0.1,29.5166666666667,88.1174311663223,24.1214503945437
4.8,0.1,29.5333333333333,88.3131777104117,24.3687044490501
4.8,0.1,29.55,88.5093571190012,24.615825930972
4.8,0.1,29.5666666666667,88.7059703656952,24.8628143340813
4.8,0.1,29.5833333333333,88.9030184263062,25.1096691475184
4.8,0.1,29.6,89.1005022788552,25.3563898557652
4.8,0.1,29.6166666666667,89.298422903574,25.6029759386199
4.8,0.1,29.6333333333333,89.4967812829063,25.8494268711701
4.8,0.1,29.65,89.6955784015082,26.0957421237664
4.8,0.1,29.6666666666667,89.8948152462503,26.3419211619958
4.8,0.1,29.6833333333333,90.0944928062175,26.5879634466542
4.8,0.1,29.7,90.2946120727109,26.83386843372
4.8,0.1,29.7166666666667,90.4951740392479,27.079635574326
4.8,0.1,29.7333333333333,90.6961797015631,27.3252643147321
4.8,0.1,29.75,90.8976300576091,27.570754096298
4.8,0.1,29.7666666666667,91.0995261075564,27.816104355454
4.8,0.1,29.7833333333333,91.3018688537942,28.0613145236742
4.8,0.1,29.8,91.504659300931,28.3063840274471
4.8,0.1,29.8166666666667,91.7078984557935,28.5513122882473
4.8,0.1,29.8333333333333,91.9115873274281,28.7960987225068
4.8,0.1,29.85,92.1157269270999,29.0407427415859
4.8,0.1,29.8666666666667,92.320318268293,29.2852437517436
4.8,0.1,29.8833333333333,92.5253623667095,29.5296011541086
4.8,0.1,29.9,92.7308602402701,29.7738143446494
4.8,0.1,29.9166666666667,92.9368129091126,30.0178827141443
4.8,0.1,29.9333333333333,93.1432213955918,30.2618056481515
4.8,0.1,29.95,93.3500867242786,30.5055825269786
4.8,0.1,29.9666666666667,93.5574099219588,30.7492127256519
4.8,0.1,29.9833333333333,93.7651920176323,30.9926956138861
4.8,0.1,30,93.973434042512,31.2360305560527
4.8,0.1,30.0166666666667,94.1821370300222,31.4792169111493
4.8,0.1,30.0333333333333,94.3913020157975,31.7222540327678
4.8,0.1,30.05,94.6009300376807,31.9651412690626
4.8,0.1,30.0666666666667,94.8110221357215,32.2078779627192
4.8,0.1,30.0833333333333,95.0215793521744,32.4504634509218
4.8,0.1,30.1,95.232602731497,32.6928970653207
4.8,0.1,30.1166666666667,95.4440933203472,32.9351781320002
4.8,0.1,30.1333333333333,95.6560521675814,33.1773059714453
4.8,0.1,30.15,95.868480324252,33.4192798985089
4.8,0.1,30.1666666666667,96.0813788436044,33.6610992223787
4.8,0.1,30.1833333333333,96.2947487810745,33.9027632465431
4.8,0.1,30.2,96.5085911942858,34.1442712687582
4.8,0.1,30.2166666666667,96.7229071430459,34.3856225810132
4.8,0.1,30.2333333333333,96.9376976893436,34.6268164694964
4.8,0.1,30.25,97.1529638973453,34.8678522145611
4.8,0.1,30.2666666666667,97.3687068333915,35.10872909069
4.8,0.1,30.2833333333333,97.5849275659925,35.3494463664612
4.8,0.1,30.3,97.8016271658251,35.5900033045128
4.8,0.1,30.3166666666667,98.0188067057281,35.8303991615069
4.8,0.1,30.3333333333333,98.2364672606979,36.0706331880947
